算子名称,对应benchmark文件,baseline实现方式,baseline说明,vLLM接口调用方式(CUDA),"模型实测input_shapes(来自temp,去重)"
chunk_gated_delta_rule_fwd,test_FLA/test_chunk_gated_delta_rule_fwd.py,原生Triton基准,_native_gdn_fwd：仓库原生 Triton 实现作基准,-,
cp_gather_indexer_k_quant_cache,test_cp_gather_indexer_k_quant_cache.py,vLLM接口,vllm._custom_ops,"import: import vllm._custom_ops as ops  调用: ops.cp_gather_indexer_k_quant_cache(kv_cache, dst_k, dst_scale, block_table, cu_seq_lens)","[[50312,64,132],[1024,128],[1024,4],[1,128],[2]]
[[50314,64,132],[1024,128],[1024,4],[1,128],[2]]
[[50438,64,132],[1024,128],[1024,4],[1,128],[2]]
[[50312,64,132],[2047,128],[2047,4],[2,128],[3]]
[[50312,64,132],[2048,128],[2048,4],[2,128],[3]]
[[50314,64,132],[2047,128],[2047,4],[2,128],[3]]
[[50314,64,132],[2048,128],[2048,4],[2,128],[3]]
[[50438,64,132],[2047,128],[2047,4],[2,128],[3]]
[[50438,64,132],[2048,128],[2048,4],[2,128],[3]]
[[50312,64,132],[2839,128],[2839,4],[3,128],[4]]
[[50314,64,132],[2839,128],[2839,4],[3,128],[4]]
[[50312,64,132],[2854,128],[2854,4],[3,128],[4]]
[[50314,64,132],[2854,128],[2854,4],[3,128],[4]]
[[50312,64,132],[2868,128],[2868,4],[3,128],[4]]
[[50314,64,132],[2868,128],[2868,4],[3,128],[4]]
[[50312,64,132],[2882,128],[2882,4],[3,128],[4]]
[[50314,64,132],[2882,128],[2882,4],[3,128],[4]]
[[50312,64,132],[2896,128],[2896,4],[3,128],[4]]
[[50314,64,132],[2896,128],[2896,4],[3,128],[4]]
[[50438,64,132],[2839,128],[2839,4],[3,128],[4]]
[[50312,64,132],[2909,128],[2909,4],[3,128],[4]]
[[50314,64,132],[2909,128],[2909,4],[3,128],[4]]
[[50438,64,132],[2854,128],[2854,4],[3,128],[4]]
[[50312,64,132],[2921,128],[2921,4],[3,128],[4]]
[[50314,64,132],[2921,128],[2921,4],[3,128],[4]]
[[50438,64,132],[2868,128],[2868,4],[3,128],[4]]
[[50312,64,132],[2933,128],[2933,4],[3,128],[4]]
[[50314,64,132],[2933,128],[2933,4],[3,128],[4]]
[[50312,64,132],[2945,128],[2945,4],[3,128],[4]]
[[50438,64,132],[2882,128],[2882,4],[3,128],[4]]
[[50314,64,132],[2945,128],[2945,4],[3,128],[4]]
[[50312,64,132],[2956,128],[2956,4],[3,128],[4]]
[[50314,64,132],[2956,128],[2956,4],[3,128],[4]]
[[50438,64,132],[2896,128],[2896,4],[3,128],[4]]
[[50312,64,132],[2966,128],[2966,4],[3,128],[4]]
[[50314,64,132],[2966,128],[2966,4],[3,128],[4]]
[[50438,64,132],[2909,128],[2909,4],[3,128],[4]]
[[50312,64,132],[2976,128],[2976,4],[3,128],[4]]
[[50314,64,132],[2976,128],[2976,4],[3,128],[4]]
[[50438,64,132],[2921,128],[2921,4],[3,128],[4]]
[[50312,64,132],[2986,128],[2986,4],[3,128],[4]]
[[50314,64,132],[2986,128],[2986,4],[3,128],[4]]
[[50312,64,132],[2995,128],[2995,4],[3,128],[4]]
[[50314,64,132],[2995,128],[2995,4],[3,128],[4]]
[[50438,64,132],[2933,128],[2933,4],[3,128],[4]]
[[50312,64,132],[3003,128],[3003,4],[3,128],[4]]
[[50314,64,132],[3003,128],[3003,4],[3,128],[4]]
[[50438,64,132],[2945,128],[2945,4],[3,128],[4]]
[[50312,64,132],[3011,128],[3011,4],[3,128],[4]]
[[50314,64,132],[3011,128],[3011,4],[3,128],[4]]
[[50312,64,132],[3019,128],[3019,4],[3,128],[4]]
[[50438,64,132],[2956,128],[2956,4],[3,128],[4]]
[[50314,64,132],[3019,128],[3019,4],[3,128],[4]]
[[50312,64,132],[3026,128],[3026,4],[3,128],[4]]
[[50314,64,132],[3026,128],[3026,4],[3,128],[4]]
[[50438,64,132],[2966,128],[2966,4],[3,128],[4]]
[[50312,64,132],[3032,128],[3032,4],[3,128],[4]]
[[50314,64,132],[3032,128],[3032,4],[3,128],[4]]
[[50312,64,132],[3038,128],[3038,4],[3,128],[4]]
[[50314,64,132],[3038,128],[3038,4],[3,128],[4]]
[[50438,64,132],[2976,128],[2976,4],[3,128],[4]]
[[50312,64,132],[3044,128],[3044,4],[3,128],[4]]
[[50314,64,132],[3044,128],[3044,4],[3,128],[4]]
[[50312,64,132],[3049,128],[3049,4],[3,128],[4]]
[[50438,64,132],[2986,128],[2986,4],[3,128],[4]]
[[50314,64,132],[3049,128],[3049,4],[3,128],[4]]
[[50312,64,132],[3053,128],[3053,4],[3,128],[4]]
[[50314,64,132],[3053,128],[3053,4],[3,128],[4]]
[[50312,64,132],[3057,128],[3057,4],[3,128],[4]]
[[50314,64,132],[3057,128],[3057,4],[3,128],[4]]
[[50438,64,132],[2995,128],[2995,4],[3,128],[4]]
[[50312,64,132],[3061,128],[3061,4],[3,128],[4]]
[[50314,64,132],[3061,128],[3061,4],[3,128],[4]]
[[50312,64,132],[3064,128],[3064,4],[3,128],[4]]
[[50314,64,132],[3064,128],[3064,4],[3,128],[4]]
[[50312,64,132],[3066,128],[3066,4],[3,128],[4]]
[[50438,64,132],[3003,128],[3003,4],[3,128],[4]]
[[50314,64,132],[3066,128],[3066,4],[3,128],[4]]
[[50312,64,132],[3068,128],[3068,4],[3,128],[4]]
[[50314,64,132],[3068,128],[3068,4],[3,128],[4]]
[[50312,64,132],[3070,128],[3070,4],[3,128],[4]]
[[50314,64,132],[3070,128],[3070,4],[3,128],[4]]
[[50438,64,132],[3011,128],[3011,4],[3,128],[4]]
[[50438,64,132],[3019,128],[3019,4],[3,128],[4]]
[[50438,64,132],[3026,128],[3026,4],[3,128],[4]]
[[50438,64,132],[3032,128],[3032,4],[3,128],[4]]
[[50438,64,132],[3038,128],[3038,4],[3,128],[4]]
[[50438,64,132],[3044,128],[3044,4],[3,128],[4]]
[[50438,64,132],[3049,128],[3049,4],[3,128],[4]]
[[50438,64,132],[3053,128],[3053,4],[3,128],[4]]
[[50438,64,132],[3057,128],[3057,4],[3,128],[4]]
[[50438,64,132],[3061,128],[3061,4],[3,128],[4]]
[[50438,64,132],[3064,128],[3064,4],[3,128],[4]]
[[50438,64,132],[3066,128],[3066,4],[3,128],[4]]
[[50438,64,132],[3068,128],[3068,4],[3,128],[4]]
[[50438,64,132],[3070,128],[3070,4],[3,128],[4]]"
dequantize_and_gather_k_cache,test_deepseek_v4_attention_dequantize_and_gather_k_cache.py,vLLM接口,vllm.v1.attention.ops.deepseek_v4_ops,"import: from vllm.v1.attention.ops.deepseek_v4_ops import dequantize_and_gather_k_cache  调用: dequantize_and_gather_k_cache(out, k_cache, seq_lens, gather_lens, block_table, block_size, offset)",
flash_attn_varlen_func,test_flash_attn_varlen_func.py,vLLM接口,vllm.vllm_flash_attn.flash_attn_interface.flash_attn_varlen_func,import: from vllm.vllm_flash_attn.flash_attn_interface import flash_attn_varlen_func  调用: flash_attn_varlen_func(...)  # 作为 torch_op 直接传入,
flash_mla,test_flash_mla.py,torch实现,ref_mla 手写参考实现,-,
fp8_fp4_mqa_logits,test_fp8_fp4_mqa_logits.py,vLLM接口,vllm.utils.deep_gemm.fp8_fp4_mqa_logits,"import: from vllm.utils.deep_gemm import fp8_fp4_mqa_logits  调用: fp8_fp4_mqa_logits(q=(q_fp8, None), kv=(k_fp8, k_scale), weights=weights, cu_seqlen_ks=ks, cu_seqlen_ke=ke, clean_logits=True)",
fp8_fp4_paged_mqa_logits,test_fp8_fp4_paged_mqa_logits.py,vLLM接口,vllm.utils.deep_gemm (paged 版本),"import: from vllm.utils.deep_gemm import fp8_fp4_paged_mqa_logits, get_paged_mqa_logits_metadata  调用: fp8_fp4_paged_mqa_logits(q=(q_fp8, None), kv_cache=kv_fp8, weights=weights, context_lens=context_lens, block_tables=block_table, schedule_metadata=schedule_meta, max_model_len=MAX_MODEL_LEN)",
fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,test_fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert.py,vLLM接口,torch.ops._C.fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert (vLLM C++扩展),import: import vllm._custom_ops  # 加载 torch.ops._C (通过 hasattr 探测)  调用: torch.ops._C.fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert(...),"[[4096,8,512],[4096,512],[50312,37376],[4096],[4096],[1048576,64],[],[],[]]
[[4096,8,512],[4096,512],[50314,37376],[4096],[4096],[1048576,64],[],[],[]]
[[4096,8,512],[4096,512],[50438,37376],[4096],[4096],[1048576,64],[],[],[]]
[[5089,8,512],[5089,512],[50312,37376],[5089],[5089],[1048576,64],[],[],[]]
[[5089,8,512],[5089,512],[50314,37376],[5089],[5089],[1048576,64],[],[],[]]
[[5089,8,512],[5089,512],[50438,37376],[5089],[5089],[1048576,64],[],[],[]]
[[8192,8,512],[8192,512],[50312,37376],[8192],[8192],[1048576,64],[],[],[]]
[[8192,8,512],[8192,512],[50314,37376],[8192],[8192],[1048576,64],[],[],[]]
[[8192,8,512],[8192,512],[50438,37376],[8192],[8192],[1048576,64],[],[],[]]"
fused_experts_impl,test_fused_moe.py,vLLM接口,vllm.model_executor.layers.fused_moe.fused_moe.fused_experts_impl,"import: from vllm.model_executor.layers.fused_moe.fused_moe import fused_experts_impl  调用: fused_experts_impl(hidden_states.clone(), w1, w2, topk_weights, topk_ids, inplace=False, activation=""silu"")",
indexer_k_quant_and_cache,test_indexer_k_quant_and_cache.py,vLLM接口,vllm._custom_ops,"import: import vllm._custom_ops as ops  调用: ops.indexer_k_quant_and_cache(k, kv_cache, slot_mapping, quant_block_size, scale_fmt)",
pack_seq_triton,test_pack_seq.py,vLLM接口,vllm.v1.attention.ops.common.pack_seq_triton,import: from vllm.v1.attention.ops.common import pack_seq_triton  调用: pack_seq_triton(...)  # 作为 torch_op 直接传入,
persistent_topk,test_persistent_topk.py,vLLM接口,torch.ops._C.persistent_topk (vLLM C++扩展),"import: import vllm._custom_ops  # 加载 torch.ops._C  调用: torch.ops._C.persistent_topk(logits, lengths, indices, workspace, K, max_seq_len)","[[34,8192],[34,1],[34,512],[1048576],[],[]]
[[36,8192],[36,1],[36,512],[1048576],[],[]]
[[38,8192],[38,1],[38,512],[1048576],[],[]]
[[40,8192],[40,1],[40,512],[1048576],[],[]]
[[42,8192],[42,1],[42,512],[1048576],[],[]]
[[44,8192],[44,1],[44,512],[1048576],[],[]]
[[46,8192],[46,1],[46,512],[1048576],[],[]]
[[48,8192],[48,1],[48,512],[1048576],[],[]]
[[50,8192],[50,1],[50,512],[1048576],[],[]]
[[52,8192],[52,1],[52,512],[1048576],[],[]]
[[54,8192],[54,1],[54,512],[1048576],[],[]]
[[56,8192],[56,1],[56,512],[1048576],[],[]]
[[58,8192],[58,1],[58,512],[1048576],[],[]]
[[60,8192],[60,1],[60,512],[1048576],[],[]]
[[62,8192],[62,1],[62,512],[1048576],[],[]]"
top_k_per_row_decode,test_top_k_per_row_decode.py,vLLM接口(torch兜底),优先 vllm._custom_ops CUDA kernel；无 vLLM 时回退 torch.topk,"import: import vllm._custom_ops  # 加载 torch.ops._C  调用: torch.ops._C.top_k_per_row_decode(logits, next_n, seq_lens, indices, num_rows, stride0, stride1, top_k)",
topk_softplus_sqrt,test_topk_softplus_sqrt.py,vLLM接口(torch兜底),优先 vllm._custom_ops.topk_hash_softplus_sqrt；无 vLLM 时回退 torch 参考,"import: from vllm._custom_ops import topk_hash_softplus_sqrt  调用: topk_hash_softplus_sqrt(topk_weights, topk_indices, token_expert_indices, gating_output, renormalize, routed_scaling_factor, correction_bias, input_ids, tid2eid)","[[4096,6],[4096,6],[4096,6],[4096,256],[],[],[],[],[]]
[[4096,6],[4096,6],[4096,6],[4096,256],[],[],[256],[],[]]
[[5089,6],[5089,6],[5089,6],[5089,256],[],[],[],[],[]]
[[5089,6],[5089,6],[5089,6],[5089,256],[],[],[256],[],[]]
[[4096,6],[4096,6],[4096,6],[4096,256],[],[],[256],[4096],[]]
[[5089,6],[5089,6],[5089,6],[5089,256],[],[],[256],[5089],[]]
[[8192,6],[8192,6],[8192,6],[8192,256],[],[],[],[],[]]
[[8192,6],[8192,6],[8192,6],[8192,256],[],[],[256],[],[]]
[[8192,6],[8192,6],[8192,6],[8192,256],[],[],[256],[8192],[]]
[[4096,6],[4096,6],[4096,6],[4096,256],[],[],[],[4096],[129280,6]]
[[5089,6],[5089,6],[5089,6],[5089,256],[],[],[],[5089],[129280,6]]
[[8192,6],[8192,6],[8192,6],[8192,256],[],[],[],[8192],[129280,6]]"
_qsa_merge_splitk_kernel,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
_qsa_sparse_paged_gqa_splitk_kernel,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
apply_top_k_top_p,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
causal_conv1d_fn,test_causal_conv1d_fn.py,torch实现,逐序列 F.conv1d 循环参考 (causal_conv1d_seq_ref),-,
causal_conv1d_update,test_causal_conv1d_update.py,torch实现,批量 F.conv1d 参考 (_causal_conv1d_update_torch),-,"[[1,4096],[1,16],[1,16],[1,16,128],[],[]]
[[2,4096],[2,16],[2,16],[2,16,128],[],[]]
[[3,4096],[3,16],[3,16],[3,16,128],[],[]]
[[4,4096],[4,16],[4,16],[4,16,128],[],[]]
[[5,4096],[5,16],[5,16],[5,16,128],[],[]]
[[6,4096],[6,16],[6,16],[6,16,128],[],[]]
[[7,4096],[7,16],[7,16],[7,16,128],[],[]]
[[8,4096],[8,16],[8,16],[8,16,128],[],[]]
[[9,4096],[9,16],[9,16],[9,16,128],[],[]]
[[10,4096],[10,16],[10,16],[10,16,128],[],[]]
[[11,4096],[11,16],[11,16],[11,16,128],[],[]]
[[12,4096],[12,16],[12,16],[12,16,128],[],[]]
[[13,4096],[13,16],[13,16],[13,16,128],[],[]]
[[14,4096],[14,16],[14,16],[14,16,128],[],[]]
[[15,4096],[15,16],[15,16],[15,16,128],[],[]]
[[16,4096],[16,16],[16,16],[16,16,128],[],[]]
[[17,4096],[17,16],[17,16],[17,16,128],[],[]]
[[18,4096],[18,16],[18,16],[18,16,128],[],[]]
[[19,4096],[19,16],[19,16],[19,16,128],[],[]]
[[20,4096],[20,16],[20,16],[20,16,128],[],[]]
[[21,4096],[21,16],[21,16],[21,16,128],[],[]]
[[22,4096],[22,16],[22,16],[22,16,128],[],[]]
[[23,4096],[23,16],[23,16],[23,16,128],[],[]]
[[24,4096],[24,16],[24,16],[24,16,128],[],[]]
[[25,4096],[25,16],[25,16],[25,16,128],[],[]]
[[26,4096],[26,16],[26,16],[26,16,128],[],[]]
[[27,4096],[27,16],[27,16],[27,16,128],[],[]]
[[28,4096],[28,16],[28,16],[28,16,128],[],[]]
[[29,4096],[29,16],[29,16],[29,16,128],[],[]]
[[30,4096],[30,16],[30,16],[30,16,128],[],[]]
[[31,4096],[31,16],[31,16],[31,16,128],[],[]]
[[32,4096],[32,16],[32,16],[32,16,128],[],[]]
[[33,4096],[33,16],[33,16],[33,16,128],[],[]]
[[34,4096],[34,16],[34,16],[34,16,128],[],[]]
[[35,4096],[35,16],[35,16],[35,16,128],[],[]]
[[36,4096],[36,16],[36,16],[36,16,128],[],[]]
[[37,4096],[37,16],[37,16],[37,16,128],[],[]]
[[38,4096],[38,16],[38,16],[38,16,128],[],[]]
[[39,4096],[39,16],[39,16],[39,16,128],[],[]]
[[40,4096],[40,16],[40,16],[40,16,128],[],[]]
[[41,4096],[41,16],[41,16],[41,16,128],[],[]]
[[42,4096],[42,16],[42,16],[42,16,128],[],[]]
[[43,4096],[43,16],[43,16],[43,16,128],[],[]]
[[44,4096],[44,16],[44,16],[44,16,128],[],[]]
[[45,4096],[45,16],[45,16],[45,16,128],[],[]]
[[46,4096],[46,16],[46,16],[46,16,128],[],[]]
[[47,4096],[47,16],[47,16],[47,16,128],[],[]]
[[48,4096],[48,16],[48,16],[48,16,128],[],[]]
[[49,4096],[49,16],[49,16],[49,16,128],[],[]]
[[50,4096],[50,16],[50,16],[50,16,128],[],[]]
[[51,4096],[51,16],[51,16],[51,16,128],[],[]]
[[52,4096],[52,16],[52,16],[52,16,128],[],[]]
[[53,4096],[53,16],[53,16],[53,16,128],[],[]]
[[54,4096],[54,16],[54,16],[54,16,128],[],[]]
[[55,4096],[55,16],[55,16],[55,16,128],[],[]]
[[56,4096],[56,16],[56,16],[56,16,128],[],[]]
[[57,4096],[57,16],[57,16],[57,16,128],[],[]]
[[58,4096],[58,16],[58,16],[58,16,128],[],[]]
[[59,4096],[59,16],[59,16],[59,16,128],[],[]]
[[60,4096],[60,16],[60,16],[60,16,128],[],[]]
[[61,4096],[61,16],[61,16],[61,16,128],[],[]]
[[62,4096],[62,16],[62,16],[62,16,128],[],[]]
[[63,4096],[63,16],[63,16],[63,16,128],[],[]]
[[64,4096],[64,16],[64,16],[64,16,128],[],[]]"
chunk_gdn2,test_FLA/test_chunk_gdn2.py,原生Triton基准,原生 Triton 路径 (BT=64) 作基准，对比 TLE 封装,-,
chunk_gla,test_FLA/test_chunk_gla_perf.py,第三方库(fla),可选 fla.ops.gla.chunk_gla 参考；未装 fla 时仅测 gems,-,
chunk_kda,test_FLA/test_chunk_kda.py,torch实现,_chunk_kda_torch_reference_op 手写参考,-,
compressor,未找到对应benchmark,-,仅在 src/flaggems_vllm/ops/fused_indexer_q_rope_quant.py 出现，无独立 benchmark,-,
flash_attn_varlen_func_w8a8_fp8,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
flash_mla_sparse_fwd_w8a8_fp8,未找到对应benchmark,-,test_flash_mla_sparse_fwd.py 用 vLLM 基准但非 w8a8_fp8 变体,-,
