算子名称,对应benchmark文件,baseline实现方式,baseline说明,vLLM接口调用方式(CUDA),"模型实测input_shapes(来自temp,去重)"
flash_mla_with_kvcache,test_flash_mla_with_kvcache.py,vLLM接口,vllm.third_party.flashmla.flash_mla_interface,"import: from vllm.third_party.flashmla.flash_mla_interface import flash_mla_with_kvcache, get_mla_metadata  调用: meta, _ = get_mla_metadata(); flash_mla_with_kvcache(q, k_cache, block_table, cache_seqlens, head_dim_v, meta, **kwargs)",
flash_mla_with_kvcache_fwd_w8a8_fp8,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
fp8_einsum,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
fused_deepseek_v4_qnorm_rope_kv_rope_insert,未找到对应benchmark,-,仅有 ..._quant_insert 版本，无 ..._insert 版本,-,
fused_inv_rope_fp8_quant,test_fused_inv_rope_fp8_quant.py,vLLM接口,vllm.v1.attention.ops.deepseek_v4_ops.fused_inv_rope_fp8_quant,import: from vllm.v1.attention.ops.deepseek_v4_ops import fused_inv_rope_fp8_quant  调用: fused_inv_rope_fp8_quant(...)  # 作为 torch_op 直接传入,"【注:模糊匹配,该算子与相关融合kernel同名,shape可能不完全对应,待确认】
[[4096,8,512],[4096],[1048576,64],[],[],[],[],[],[],[],[],[],[],[],[]]
[[5089,8,512],[5089],[1048576,64],[],[],[],[],[],[],[],[],[],[],[],[]]
[[8192,8,512],[8192],[1048576,64],[],[],[],[],[],[],[],[],[],[],[],[]]"
fused_marlin_moe_w4a16_int4,test_fused_marlin_moe_w4a16_int4.py,vLLM接口,vllm fused_marlin_moe (_vllm_baseline),"import: from vllm.model_executor.layers.fused_moe.fused_marlin_moe import fused_marlin_moe; from vllm.scalar_type import scalar_types  调用: fused_marlin_moe(hidden_states=..., w1=w1_q_marlin, w2=w2_q_marlin, bias1=None, bias2=None, w1_scale=..., w2_scale=..., topk_weights=..., topk_ids=..., quant_type_id=scalar_types.uint4b8.id)",
fused_marlin_moe_w4a16_mxfp4,test_fused_marlin_moe_w4a16_mxfp4.py,vLLM接口,vllm fused_marlin_moe (_vllm_baseline_mxfp4),"import: from vllm.model_executor.layers.fused_moe.fused_marlin_moe import fused_marlin_moe; from vllm.scalar_type import scalar_types  调用: fused_marlin_moe(hidden_states=..., w1=w1_q_marlin, w2=w2_q_marlin, bias1=None, bias2=None, w1_scale=..., w2_scale=..., topk_weights=..., topk_ids=..., quant_type_id=<FP4 type>.id)",
fused_marlin_moe_w8a16_fp8,未找到对应benchmark,-,仅有 w8a16_int8 版本，无 w8a16_fp8 版本,-,
fused_marlin_moe_w8a16_int8,test_fused_marlin_moe_w8a16_int8.py,vLLM接口,vllm fused_marlin_moe (_vllm_baseline_int8),"import: from vllm.model_executor.layers.fused_moe.fused_marlin_moe import fused_marlin_moe; from vllm.scalar_type import scalar_types  调用: fused_marlin_moe(hidden_states=..., w1=w1_q_marlin, w2=w2_q_marlin, w1_scale=..., w2_scale=..., topk_weights=..., topk_ids=..., quant_type_id=<int8 type>.id)",
gemma_rms_norm,test_qwen4_self_kernels.py,torch实现,对应 qwen4_grouped_gemma_rmsnorm，baseline 为 _torch_grouped_rmsnorm (名称不完全一致，待确认),-,
kv_rmsnorm_rope_cache,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
lightning_indexer,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
MegaGDR,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
megamoe,未找到对应benchmark,-,仅有 stage_deepseek_v4_mega_moe_inputs (相关但不同),-,
MegaPreAttention,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
moe_align_block_size,test_moe_align_block_size_triton.py,vLLM接口,vllm._custom_ops.moe_align_block_size,import: import vllm._custom_ops as vllm_ops  调用: vllm_ops.moe_align_block_size(...)  # 作为 torch_op 直接传入,"[[10,8],[],[],[1280],[80],[1],[]]
[[12,8],[],[],[1536],[96],[1],[]]
[[14,8],[],[],[1792],[112],[1],[]]
[[16,8],[],[],[2048],[128],[1],[]]
[[18,8],[],[],[2304],[144],[1],[]]
[[20,8],[],[],[2560],[160],[1],[]]
[[22,8],[],[],[2816],[176],[1],[]]
[[24,8],[],[],[3072],[192],[1],[]]
[[26,8],[],[],[3328],[208],[1],[]]
[[28,8],[],[],[3584],[224],[1],[]]
[[30,8],[],[],[3840],[240],[1],[]]
[[32,8],[],[],[4096],[256],[1],[]]
[[34,8],[],[],[8208],[257],[1],[]]
[[36,8],[],[],[8224],[257],[1],[]]
[[38,8],[],[],[8240],[258],[1],[]]
[[40,8],[],[],[8256],[258],[1],[]]
[[42,8],[],[],[8272],[259],[1],[]]
[[44,8],[],[],[8288],[259],[1],[]]
[[46,8],[],[],[8304],[260],[1],[]]
[[48,8],[],[],[8320],[260],[1],[]]
[[50,8],[],[],[8336],[261],[1],[]]
[[52,8],[],[],[8352],[261],[1],[]]
[[54,8],[],[],[8368],[262],[1],[]]
[[56,8],[],[],[8384],[262],[1],[]]
[[58,8],[],[],[8400],[263],[1],[]]
[[60,8],[],[],[8416],[263],[1],[]]
[[62,8],[],[],[8432],[264],[1],[]]
[[63,8],[],[],[8440],[264],[1],[]]
[[64,8],[],[],[8448],[264],[1],[]]
[[1000,8],[],[],[40512],[317],[1],[]]
[[4096,6],[],[],[40704],[636],[1],[]]
[[5089,6],[],[],[46662],[730],[1],[]]
[[4096,8],[],[],[65280],[510],[1],[]]
[[4097,8],[],[],[65288],[511],[1],[]]
[[4103,8],[],[],[65336],[511],[1],[]]
[[4104,8],[],[],[65344],[511],[1],[]]
[[4105,8],[],[],[65352],[511],[1],[]]
[[4115,8],[],[],[65432],[512],[1],[]]
[[8192,6],[],[],[65280],[1020],[1],[]]
[[5089,8],[],[],[73224],[573],[1],[]]
[[8192,8],[],[],[98048],[766],[1],[]]"
qsa_pre_indexer,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
qsa_select_paged_decode,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
qsa_select_paged_prefill,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
quant_lightning_indexer,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
SparseAttnSharedKv,未找到对应benchmark,-,benchmark 目录下未见对应用例,-,
w8a8_block_fp8_matmul,test_blas_perf_parallel.py,vLLM接口,vllm fp8_utils.w8a8_triton_block_scaled_mm (另有 deep_gemm 变体),import: from vllm.model_executor.layers.quantization.utils.fp8_utils import w8a8_triton_block_scaled_mm  调用: w8a8_triton_block_scaled_mm(...)  # 作为 torch_op 直接传入,
